nombre_cliente,Folio,capital,porcentaje,tipo_contrato,completado,fecha,nombre_ejecutivo
Daphna Allebone,22-982-2890,5000,13,renovacion,,10/16/2019,Sandra
Papagena Malsher,24-981-7455,1000,27,nuevo,1,3/6/2022,Fabiola
Shayla Dixcey,64-104-7430,5500,13,nuevo,1,10/23/2019,Ángel
Matthias Chaytor,89-964-6901,2500,60,nuevo,,7/1/2021,Natali
Libbi Driutti,13-201-0924,2000,27,nuevo,1,2/8/2022,Horacio
Wynn Kinton,57-261-1216,3500,13,renovacion,1,6/5/2021,Felipe
Whitaker Overland,57-417-5406,6000,60,reestructutacion,,2/1/2022,Blas
Christiano Maus,89-261-9062,1500,27,renovacion,1,8/3/2021,Heber
Cassie Clipsham,06-206-4605,4000,13,nuevo,1,2/25/2021,Natali
Millard Cobson,17-904-2073,5000,13,reestructutacion,1,3/8/2020,Anthony
Olin De Witt,80-463-9424,3000,13,reestructutacion,,3/2/2021,Natali
Alphonse Haldane,14-126-0663,6000,60,renovacion,,8/16/2021,Monserrat
Sophie Davey,85-601-0276,5500,13,nuevo,1,12/26/2021,Jose
Elisabetta Scatchard,47-754-4757,5000,13,renovacion,,4/17/2020,Sandra
Jinny MacGaffey,55-668-7892,6000,27,reestructutacion,1,8/9/2019,Jose
Phillis Tumielli,94-707-3116,3000,27,nuevo,1,8/27/2021,Heber
Kerianne Tremayle,22-165-5511,5500,13,reestructutacion,1,3/16/2020,Miguel
Fransisco Antonikov,76-272-7077,3000,13,renovacion,1,5/11/2021,Efraín
Elnora Rabier,45-093-9498,1000,13,nuevo,,10/12/2021,Blas
Clive Le Teve,64-261-4675,5000,60,reestructutacion,1,3/28/2020,Mitchel
Koenraad Karmel,40-445-5344,3500,60,renovacion,1,7/17/2019,Miguel
Mel Cottisford,09-699-0774,2000,40,renovacion,1,5/30/2020,Blas
Clari Karpeev,60-133-8059,2500,40,renovacion,,9/17/2021,Jose
Muire Leek,29-696-6514,5000,27,reestructutacion,1,1/30/2020,Natali
Zuzana Face,75-416-1952,4500,60,reestructutacion,1,7/17/2019,Mitchel
Norbert Wilne,35-234-0544,2000,13,reestructutacion,1,12/19/2021,Francisco
Sissy Collocott,55-556-8633,2500,60,nuevo,1,10/16/2019,Rosa
Randi Igonet,15-239-7493,1500,60,nuevo,1,4/18/2020,Jorge
Johnathan McKirdy,49-670-4376,5500,27,nuevo,1,5/1/2021,Horacio
Bax Broscombe,51-153-3839,4500,40,reestructutacion,1,1/21/2020,Monserrat
Kory Conn,24-129-2723,1000,40,renovacion,1,1/13/2021,Aketzali
Gayelord Whorf,01-230-5239,4000,27,renovacion,,2/14/2021,Horacio
Alejandro Davidovic,94-980-9603,3000,40,nuevo,1,12/4/2021,Rafael
Rose Fadden,20-423-8472,5000,60,nuevo,,12/6/2021,Fabiola
Otis Hardson,18-044-6776,4000,27,reestructutacion,1,6/11/2019,Efraín
Emelina Jarrell,73-450-7940,4000,27,renovacion,1,10/23/2019,Horacio
Suzie Doggrell,94-174-9694,3000,13,reestructutacion,1,10/16/2020,Felipe
Clark Jakes,51-410-2405,3500,27,renovacion,1,10/30/2021,Cristobal
Virgilio Rickword,91-662-9387,1500,40,renovacion,1,11/4/2020,Noa
Eustace De La Coste,69-624-4710,5500,40,reestructutacion,1,9/29/2019,Daniel
Anjanette Slyde,36-972-3912,3000,13,reestructutacion,1,1/31/2021,Monserrat
Norry Quernel,62-084-0705,1000,40,nuevo,,7/9/2019,Juan
Lynnell Phelipeaux,06-209-7423,2000,13,reestructutacion,,4/6/2022,Saul
Mannie Blay,28-927-7741,2000,60,reestructutacion,,4/22/2020,Miguel
Onida Dannehl,59-260-4426,4000,27,reestructutacion,1,7/14/2020,Horacio
Evangeline Elks,18-052-5379,2500,27,renovacion,1,9/30/2019,Jose
Clotilda Bedenham,05-150-2220,1000,13,reestructutacion,1,7/9/2020,Jorge
Vanni Cusack,73-904-8863,6000,27,reestructutacion,,8/24/2021,Anthony
Weider Sabbin,04-055-6585,4000,27,renovacion,1,2/29/2020,
Maryanna Ickeringill,85-827-2107,5000,27,nuevo,,8/8/2020,Cristobal
Clerc Piola,80-813-3267,4500,27,reestructutacion,1,10/13/2020,Heber
Adrea Bomfield,24-039-7240,6000,60,renovacion,1,5/6/2020,Jorge
Thelma Tromans,15-170-9460,4000,13,renovacion,1,1/5/2022,Felipe
Marylinda Meers,76-800-3389,6000,40,renovacion,,9/4/2020,Rafael
Harland Scamal,91-943-3945,3500,40,renovacion,1,7/21/2019,Fanny
Hadria Scampion,10-791-5896,3000,60,reestructutacion,1,12/7/2020,Jorge
Agnes O'Henery,51-566-7384,4000,13,renovacion,,2/23/2020,Jorge
Munmro Willder,92-036-2397,3500,27,nuevo,,12/15/2021,Belen
Egan Stoyles,95-932-1736,1000,60,renovacion,,1/12/2021,Monica
Calypso Bignold,73-517-0999,2500,13,nuevo,1,3/28/2020,Jorge
Andee Mackieson,66-347-5468,2000,40,reestructutacion,1,7/16/2020,Horacio
Paolina Brigman,95-043-3083,3000,60,nuevo,1,8/22/2021,Daniel
Candace Bursnall,72-882-3205,5500,27,nuevo,1,1/7/2020,Grisel
Hillary Cashmore,55-754-1863,2000,13,nuevo,1,9/12/2021,Anthony
Preston De Vaan,55-840-5666,5500,60,nuevo,1,2/14/2022,Noa
Arline Desforges,35-118-1134,6000,40,nuevo,,5/18/2020,Juan
Ev Tyer,04-748-8227,4500,13,reestructutacion,,4/27/2021,Jose
Lulu Verecker,67-664-6015,6000,27,reestructutacion,1,9/25/2021,Miguel
Ibrahim Matzaitis,30-250-5765,2000,40,nuevo,1,8/23/2020,Heber
Mirabella Donovan,98-889-3331,1500,13,renovacion,1,10/28/2020,Efraín
Annmarie Snelson,86-837-4126,1500,40,nuevo,1,12/30/2021,Cristobal
Marney Symondson,50-423-7096,5500,13,renovacion,1,1/11/2020,Horacio
Jilleen Mowett,08-658-9147,5000,27,nuevo,1,7/28/2021,Luis
Jason Spollen,27-522-2487,3500,60,nuevo,1,12/4/2021,Cristobal
Wade Reboulet,35-508-4234,3000,40,nuevo,1,5/16/2020,Alvaro
Ki O Sullivan,46-930-2370,2500,40,renovacion,1,12/27/2021,Saul
Dieter Roaf,97-710-8607,2000,27,renovacion,,8/12/2020,Rosa
Euphemia Romeril,43-410-8221,3500,40,renovacion,1,7/10/2019,Alvaro
Seline Nucci,42-341-9392,6000,13,renovacion,,7/11/2020,Noa
Arly Ubee,51-620-5348,5500,27,renovacion,,5/5/2019,Rafael
Ulberto Amor,11-138-3636,1000,13,nuevo,1,5/23/2019,
Katherina Foxton,07-217-0595,1000,13,reestructutacion,1,4/30/2021,Belen
Cornelle Parkeson,67-831-5500,1500,40,nuevo,1,5/22/2020,Ismael
Symon Frapwell,45-870-4428,3500,40,reestructutacion,1,12/15/2019,Efraín
Deny Pettet,28-709-4789,3500,13,nuevo,1,10/7/2021,Jose
Deeanne Chessell,52-107-7131,5000,13,nuevo,,9/12/2019,Ángel
Arleyne Gallanders,80-689-9606,5000,60,reestructutacion,1,4/23/2021,
Agneta Usher,30-210-7137,3500,60,renovacion,1,9/4/2020,Blas
Porty Goundsy,99-807-2087,2500,60,reestructutacion,,1/23/2022,Francisco
Pren Dagnan,75-475-4478,2500,60,nuevo,1,5/8/2020,Sandra
Georg Velasquez,48-407-2405,4000,13,reestructutacion,1,11/4/2021,Miguel
Nikki Dunbobbin,55-739-7189,6000,40,nuevo,1,12/28/2021,Horacio
Bondie Levison,63-932-1565,2500,60,reestructutacion,1,8/27/2020,Sandra
Timothee Haythorne,59-217-9234,1500,13,renovacion,,6/17/2019,Horacio
Denis Knowller,54-989-0497,4500,60,renovacion,1,1/20/2021,Rosa
Quincy McKendry,43-712-4149,5500,60,nuevo,1,1/17/2022,Cristobal
Lusa Fletham,77-336-0774,5000,13,nuevo,1,2/9/2020,Fanny
Lev Kebell,44-805-0555,1000,27,reestructutacion,1,8/22/2021,Perla
Oona O'Collopy,41-620-5203,1500,27,nuevo,1,9/4/2021,Mitchel
Elizabeth Smallacombe,40-571-0791,5000,60,renovacion,,9/22/2020,Sandra
Rolph Rayworth,84-119-9795,3500,40,nuevo,1,2/16/2021,Aketzali
Nanine Yarnold,51-935-6800,5500,13,renovacion,,12/23/2021,Blas
Anstice Dimmick,87-178-5785,2000,13,renovacion,,4/15/2020,Juan
Abigail Harkes,88-686-9095,3000,27,reestructutacion,1,12/17/2020,Mitchel
Stan Crayk,81-262-4057,5500,27,reestructutacion,1,4/16/2022,Belen
Lodovico Worboys,42-529-6655,5500,27,renovacion,1,4/20/2019,Daniel
Carmel Sebire,51-846-6036,3500,40,nuevo,1,5/27/2020,Noa
Rozalie Spellard,93-594-5949,4500,60,reestructutacion,1,5/15/2019,Aketzali
Terra Orrell,23-819-7716,2000,13,renovacion,,11/21/2019,Rafael
Shayne Jacobsohn,84-366-7834,1000,27,renovacion,,1/26/2022,Miguel
Padriac Adelberg,29-627-1252,1500,40,renovacion,1,4/8/2021,Fanny
Tessa Crick,84-819-0224,4000,13,nuevo,,1/9/2021,Horacio
Camala Jevon,60-376-8568,4000,27,nuevo,,11/1/2021,Ángel
Orella Kerrigan,40-691-9179,2500,27,reestructutacion,,11/9/2020,Belen
Eolanda De Mico,53-243-6332,4000,13,renovacion,1,2/6/2022,Horacio
Rudiger Jessett,81-823-3271,5000,60,reestructutacion,1,9/16/2020,Grisel
Renault Toolan,07-441-7846,2500,27,renovacion,1,2/15/2022,Efraín
Roby Boast,02-298-2960,5000,13,reestructutacion,1,9/17/2019,Noa
Pepito Aleevy,93-992-8239,6000,60,nuevo,1,7/29/2020,Felipe
Marilin Dearlove,81-122-0580,5000,40,renovacion,1,11/17/2021,Ismael
Dennie Leall,64-145-5356,3500,27,nuevo,1,12/5/2020,Anthony
Selie Handrahan,28-587-9707,5000,27,nuevo,,11/13/2019,Grisel
Cletus Schonfeld,73-844-6726,5000,40,renovacion,,2/5/2021,Miguel
Kalle Jeroch,73-952-1183,2000,40,reestructutacion,1,2/20/2022,Juan
Teodor Dwyr,94-288-3258,4500,27,nuevo,,9/15/2020,Anthony
Herbert Bould,69-150-4380,4500,40,renovacion,1,6/3/2019,Ismael
Lon Janjusevic,76-064-5528,2000,13,renovacion,1,4/18/2020,Felipe
Rene McLurg,66-633-6903,1000,40,reestructutacion,1,6/23/2019,Jose
Dud Lightbowne,11-012-8352,4000,27,renovacion,1,10/28/2019,Cristobal
Shanta Dearle-Palser,95-760-7284,6000,13,nuevo,1,9/4/2021,Horacio
Gearalt Hutson,78-000-7493,1500,13,nuevo,,12/3/2020,Belen
Jamil Eymer,34-261-0696,3500,13,nuevo,,11/21/2021,Francisco
Sanderson Ferenczi,56-741-6407,5000,60,renovacion,1,9/8/2021,Dulce
Zebadiah Averay,38-625-9476,2000,27,nuevo,1,11/1/2021,Heber
Darbee Paulsen,84-023-3355,2500,60,renovacion,1,12/20/2020,Blas
Cy Mortel,89-043-8896,4000,40,nuevo,1,5/22/2019,Dulce
Carin Gethyn,26-744-5025,4000,27,nuevo,1,2/1/2020,Anthony
Bruno Hazle,68-589-4909,5500,27,renovacion,1,10/1/2021,Anthony
Risa Horley,07-545-0987,6000,40,reestructutacion,1,1/28/2020,Luis
Kaycee Shovlin,10-227-2209,1500,13,reestructutacion,1,8/27/2021,
Cozmo Drayton,84-877-7479,2000,60,nuevo,1,7/22/2021,Francisco
Aguistin Rustan,59-286-5120,1000,60,reestructutacion,1,3/23/2022,Belen
Delly Salazar,92-525-0657,5000,13,nuevo,1,9/27/2019,Saul
Nonah Worssam,41-518-5417,3500,40,renovacion,,7/28/2019,Belen
Silvio Gansbuhler,77-078-5073,2500,40,renovacion,1,5/13/2021,Grisel
Theresa Angrave,02-398-4920,1000,13,renovacion,1,2/18/2021,Daniel
Cheslie Canlin,88-185-4212,5500,60,nuevo,,10/8/2021,Daniel
Hebert Glencrosche,13-322-4466,2500,40,reestructutacion,1,5/21/2019,Sandra
Collie Janoschek,65-765-9784,1000,40,renovacion,1,10/18/2020,Sandra
Lane Janc,82-727-5806,1000,40,reestructutacion,1,4/29/2020,Saul
Kati Hanssmann,80-240-8419,2000,13,nuevo,1,7/5/2019,Rosa
Norma Kornel,32-831-6870,5000,13,renovacion,,6/17/2019,Jose
Revkah McRorie,26-739-2504,2000,13,renovacion,,2/4/2020,Francisco
Sissy Borless,65-254-0030,3500,13,renovacion,1,11/11/2021,
Wylma Edgworth,45-354-6969,5500,40,nuevo,1,7/6/2020,Rosa
Montgomery McAlister,40-409-9894,3000,40,reestructutacion,1,10/3/2020,Perla
Elvin Maroney,92-431-0513,3000,27,nuevo,1,1/5/2021,Daniel
Lavena Have,13-589-5806,4000,13,reestructutacion,1,4/6/2021,Rosa
Issi Poulton,00-611-1236,6000,13,renovacion,1,2/25/2022,Cristobal
Jackson Burnsyde,02-587-6196,6000,13,renovacion,1,6/13/2021,Francisco
Perry Umney,68-199-3765,1000,60,renovacion,,2/10/2022,Ismael
Lou Edowes,82-710-4356,2500,60,reestructutacion,,7/2/2021,Cristobal
Kessiah Williscroft,75-362-7520,5000,27,nuevo,,2/5/2022,Monserrat
Morey Crowest,79-388-4036,4500,60,renovacion,1,2/11/2021,Ángel
Jerad McCloch,27-048-7372,6000,27,renovacion,,6/18/2020,Fabiola
Gilberto Kropp,48-890-5910,3500,40,nuevo,,6/5/2020,Juan
Conant Pearlman,96-674-0995,1500,13,nuevo,1,9/26/2021,Perla
Faun Amburgy,46-007-2827,5500,60,reestructutacion,1,4/10/2021,Natali
Huntley Bullion,20-497-8860,4000,40,renovacion,1,7/13/2021,Monica
Haley Heathcott,74-127-7902,1500,27,reestructutacion,1,5/14/2019,Jorge
Jefferson Adel,29-563-1480,1000,13,renovacion,1,11/1/2021,Aketzali
Baird Peltz,91-667-5716,3000,40,renovacion,,12/27/2021,Perla
Brittney Cocke,07-009-3156,1000,13,renovacion,,7/6/2019,Blas
Jerrilyn Worster,80-851-9904,1000,40,reestructutacion,1,9/28/2021,Dulce
Maressa Schwaiger,48-395-5000,6000,60,nuevo,,11/19/2021,Belen
Bobbie Scimone,94-553-3960,2000,60,reestructutacion,1,12/4/2021,Sandra
Mallorie Fenny,52-712-4697,5000,40,renovacion,1,4/20/2020,Aketzali
Chev Chasson,90-807-5892,4500,13,renovacion,1,6/6/2021,Mitchel
Angelica Jump,51-531-6430,4000,40,nuevo,1,12/7/2021,Efraín
Clim Placstone,12-952-8710,1000,27,renovacion,,5/16/2019,Perla
Shelley Matchett,14-629-1360,3500,27,renovacion,1,9/3/2019,Fabiola
Yorke Dionisetto,61-046-4516,2500,13,nuevo,,11/17/2020,Blas
Hanson Vassar,80-593-8718,4000,60,renovacion,1,1/10/2021,Ismael
Ossie Undy,08-685-6730,2000,40,renovacion,1,1/19/2020,Monica
Corliss McCrostie,14-520-3905,4000,40,nuevo,1,1/29/2020,Felipe
Lacie Mulrenan,71-828-2521,4000,27,reestructutacion,,2/20/2021,Francisco
Harrison Jencey,04-362-8579,5500,40,nuevo,1,3/25/2021,Belen
Marlowe Dobbins,62-174-4976,4500,13,reestructutacion,1,3/13/2022,Juan
Malcolm Wetherick,90-093-5747,1500,27,nuevo,,12/8/2020,Dulce
Noel Rook,43-556-5378,5000,13,reestructutacion,1,10/31/2020,Ángel
Neel Seabright,51-942-9536,2000,40,renovacion,,6/18/2020,Aketzali
Ara Ronchetti,06-891-7642,1000,40,renovacion,,3/1/2022,
Linnie Rickaby,93-926-6015,3500,60,nuevo,1,5/8/2020,Mitchel
Beltran Cordet,07-557-3820,4500,13,reestructutacion,1,5/30/2020,Jorge
Ameline Govinlock,19-103-5454,4000,40,renovacion,1,7/12/2021,Rafael
Ad Merredy,27-820-4629,1500,13,renovacion,1,11/8/2019,Alvaro
Jillane Rhoddie,97-663-6748,1000,13,reestructutacion,1,5/15/2019,Natali
Evy Arkill,20-076-5617,5000,60,reestructutacion,,10/7/2021,Aketzali
Sheila Joret,23-609-2291,2500,13,reestructutacion,,10/12/2020,Monica
Anica Akam,24-903-4904,1000,40,reestructutacion,,4/14/2022,Sandra
Scottie Medgewick,50-049-2238,5500,40,nuevo,1,6/11/2021,Francisco
Cele Halson,51-444-9420,5500,13,reestructutacion,1,3/6/2020,Rafael
Connie Swale,50-832-4012,2000,40,reestructutacion,1,5/15/2020,
Flossy Brougham,29-711-2940,4500,40,reestructutacion,1,1/5/2020,Felipe
Nonie Jaan,57-192-5489,2500,60,nuevo,1,12/9/2021,Monserrat
Gertrudis Spowart,57-840-9424,5000,40,reestructutacion,1,11/20/2020,Perla
Franciskus Kinver,20-391-3015,2500,60,nuevo,1,7/6/2019,Francisco
Delilah Millom,80-417-5174,2500,13,nuevo,1,3/11/2022,Grisel
Lynnett Donati,12-242-2591,1500,60,renovacion,1,5/1/2021,
Jordain Dornin,23-686-2548,4500,13,renovacion,,4/2/2020,Felipe
Babbette Capstack,30-728-3330,5500,13,renovacion,1,11/14/2021,Sandra
Abba Hunnable,82-205-2138,3500,13,renovacion,,9/25/2021,Ángel
Ingram Ouslem,91-911-1294,2000,60,renovacion,1,4/3/2020,Felipe
Barnabas Breslauer,70-386-2999,5500,40,renovacion,1,11/4/2021,Alvaro
Elbertina Tatchell,96-713-0648,1500,60,reestructutacion,1,9/12/2021,Dulce
Emmaline McEnteggart,06-468-0177,2500,27,reestructutacion,,8/22/2021,Belen
Myrtice Hargey,84-343-6611,2500,60,reestructutacion,,8/23/2020,Fabiola
Kesley Holby,45-696-3409,3500,40,nuevo,,11/6/2021,Horacio
Patty Echallie,80-747-4312,2000,40,renovacion,1,11/23/2021,Blas
Lurlene Fitzsymons,68-146-5964,1500,27,nuevo,1,1/18/2022,Blas
Rae Saddleton,48-989-5491,5500,60,renovacion,1,2/11/2021,Fanny
Roanna Minichillo,31-265-5906,6000,60,renovacion,1,8/28/2021,Fanny
Jayson Shapland,21-570-6703,1500,60,reestructutacion,1,10/29/2020,Belen
Kimmy Nutting,04-987-7152,1500,40,nuevo,,1/21/2021,Ismael
Pris Shulver,05-114-9338,4500,27,nuevo,,4/10/2022,Ángel
Abrahan O'Crevy,69-196-5418,3500,27,reestructutacion,1,2/24/2022,Felipe
Sheila-kathryn Burgan,42-910-3802,3500,13,reestructutacion,1,4/21/2021,Fabiola
Gunther Grisedale,98-761-7809,1000,27,reestructutacion,1,4/21/2020,Cristobal
Peyter Jacmar,78-084-8499,2000,27,nuevo,,7/14/2019,Sandra
Alexandr Wonter,81-153-8465,3500,60,renovacion,,9/23/2021,Juan
Al Grayer,72-350-1861,3000,13,reestructutacion,1,6/26/2021,Rosa
Vassily Woodier,97-140-5609,4500,13,renovacion,1,12/2/2019,Alvaro
Zea Quarlis,43-993-7686,3000,13,renovacion,1,1/25/2020,Daniel
Terrance Blanckley,09-516-4195,6000,27,renovacion,1,12/24/2021,Daniel
Ros Bullman,48-026-1368,4000,27,reestructutacion,1,11/4/2019,Anthony
Fredrick Gough,50-671-8498,4000,27,reestructutacion,1,12/27/2021,Perla
Sashenka Beatens,13-052-0819,4000,27,reestructutacion,1,9/7/2021,Horacio
Tally Physick,98-969-8634,2000,27,nuevo,,3/22/2022,Alvaro
Colly Topp,84-853-5710,1500,40,nuevo,1,4/10/2021,Cristobal
Mano Sollon,19-698-3125,2500,27,renovacion,,4/27/2019,Daniel
Rurik Barthrop,60-780-0878,1500,13,renovacion,1,10/11/2019,Rafael
Marinna Croston,77-602-4627,3000,40,reestructutacion,1,4/5/2021,Saul
Evelyn Korlat,78-783-4074,5000,13,nuevo,,8/4/2019,Rosa
Mattheus McCrory,12-933-8670,2500,13,nuevo,,6/30/2020,Jose
Claudette Woodberry,38-962-4802,2000,13,renovacion,1,10/8/2019,Perla
Fredrika Vasechkin,65-361-2769,3000,27,renovacion,1,3/21/2021,Jose
Tudor Gonsalvez,77-922-8335,3500,40,reestructutacion,1,12/10/2019,Blas
Andrej Eskrick,12-562-4627,5000,60,nuevo,1,2/25/2020,Jorge
Vilhelmina Hovard,47-828-4679,2000,27,reestructutacion,1,5/23/2020,Fanny
Peggi Gotcliff,06-415-4788,5000,60,renovacion,1,1/30/2020,Miguel
Jake Schermick,85-528-0492,2500,40,nuevo,1,1/26/2021,Mitchel
Anders Begwell,17-928-2733,3500,60,nuevo,1,11/14/2019,Grisel
Benji Whithorn,62-714-0372,4500,40,renovacion,1,9/14/2021,Saul
Kelly Milverton,87-692-0912,3500,40,renovacion,,7/6/2020,Fanny
Nina Nolte,72-656-0354,5500,60,nuevo,1,12/19/2019,Fabiola
Wyatan Muehler,89-533-0643,1500,60,nuevo,1,11/8/2021,Sandra
Hestia Battaille,13-496-4096,5500,40,reestructutacion,1,7/1/2019,Juan
Bryant Kiehnlt,72-323-4227,1500,60,reestructutacion,1,1/20/2020,
Sholom Donkersley,77-997-3177,5000,13,renovacion,,4/26/2019,Saul
Silvia Andrews,13-995-2895,4500,27,reestructutacion,1,8/18/2019,Monserrat
Karisa Bremond,88-007-2315,2000,13,renovacion,1,5/7/2019,Horacio
Hussein Deniskevich,19-326-5612,6000,27,reestructutacion,,8/16/2019,Efraín
Perren Tace,89-080-5279,6000,13,renovacion,1,7/27/2021,Daniel
Paola Lathwell,03-075-1610,1500,27,reestructutacion,,5/30/2019,Natali
Walt d' Elboux,09-306-9986,3000,40,renovacion,1,3/16/2022,Grisel
